,molecule,isotopologue,iso_slug,num_from_states,num_from_def,headers_from_def,num_from_paper,headers_from_paper,Note
0,H2O,POKAZATEL,1H2-16O,12,11,"['i', 'E_i', 'g_i', 'J_i', 'N', 'Ka', 'Kc', 'v1', 'v2', 'v3', 'Gamma_rve']",10.0,"['i', 'E_i', 'gtot', 'J_i', 'Ka', 'Kc', 'v1', 'v2', 'v3', 'S']",
1,CO2,UCL-4000,12C-16O2,20,18,"['i', 'E_i', 'g_i', 'J_i', 'Gamma', 'e/f', 'n1', 'n2', 'l2', 'n3', 'm1', 'm2', 'm3', 'm4', 'm5', 'v1', 'v2', 'v3']",20.0,"['i','E_i','gtot','J_i','unc.','Gamma','e/f','n1','n2lin','l2','n3','Ci','m1','m2','m3','m4','r','v1T','v2T','v3T']",
2,NO,NOname,14N-16O,14,13,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', '+/-', 'e/f', 'State', 'v', 'Lambda', 'Sigma', 'Omega', 'e/c']",16.0,"['i','E_i','g_i','J_i','�E','tau_i','gJ','+/_','e/f','State','v', 'Lambda', 'Sigma', 'Omega','label','EDuo']",
3,SO2,ExoAmes,32S-16O2,11,15,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', '+/-', 'Gamma', 'N', 'nucspin', 'Gamma_rve', 'v1', 'v2', 'v3', 'Ka', 'Kc']",10.0,"['i','E_i','g_i','J_i','p','v1','v2','v3','Ka','Kc']",
4,NH3,CoYuTe,14N-1H3,26,24,"['i', 'E_i', 'g_i', 'J_i', '+/-', 'Gamma', 'N(Block)', 'n1', 'n2', 'n3', 'n4', 'l3', 'l4', 'tau(inv)', 'J', 'K', 'Gamma(rot)', 'v1', 'v2', 'v3', 'v4', 'v5', 'v6', 'Gamma(vib)']",25.0,"['i','E_i','gtot','J_i','Gamma','p','Nb','n1','n2','n3','n4','l3','l4','tau_i','J_i','K','tau_r','v1','v2','v3','v4','v5','v6','tau_vib','ECYT']",
5,HCl,HITRAN,1H-35Cl,5,7,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', 'v', 'eS']",,Not found,
6,N2,WCCRMT,14N2,13,12,"['i', 'E_i', 'g_i', 'J_i', '+/-', 'e/f', 'g/u', 'Esv', 'Omega', 'F', 'J', 'N']",,Not found,
7,CH3Cl,OYT,12C-1H3-35Cl,20,18,"['i', 'E_i', 'g_i', 'J_i', 'totalSym', 'v1', 'v2', 'v3', 'v4', 'v5', 'v6', 'v7', 'v8', 'v9', 'VibSym', 'K', 'rotSym', 'Coeff']",20.0,"['n','E_i','gtot','J_i','Gamma_tot','n1','n2','n3','n4','n5','n6','n7','n8','n9','Gamma_vib','J','K','tau_rot','Gamma_rot','|Ci|2']",J appear twice in the paper
8,C2H2,aCeTY,12C2-1H2,27,15,"['i', 'E_i', 'g_i', 'J_i', 'totalSym', 'v1', 'v2', 'v3', 'v4', 'v5', 'v5', 'v7', 'vibSym', 'K', 'rotSym']",18.0,"['N','E_i','gtot','J_i','Unc.','Gamma_tot','n1','n2','n3','n4','n5','n6','n7','Gamma_vib','K','tau_rot','Gamma_rot','E_TROVE']",
9,PH3,SAlTY,31P-1H3,23,16,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', 'totalSym', 'K', 'rotSym', 'l', 'v1', 'v2', 'v3', 'v4', 'l3', 'l4', 'vibSym']",22.0,"['N','E_i','gtot','J_i','Gamma_tot','K','Gamma_rot','L','n1','n2','n3','n4','L3','L4','Gamma_vib','|Ci|2','s1','s2','s3','b4','b5','b6']",
10,H2S,AYT2,1H2-32S,12,15,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', '+/-', 'Gamma', 'N', 'nucspin', 'Gamma_rve', 'v1', 'v2', 'v3', 'Ka', 'Kc']",12.0,"['i','E_i','g_i','J_i','tau_i','Gamma','Ka','Kc','v1','v2','v3','e/c']",
11,C2H4,MaYTY,12C2-1H4,36,24,"['i', 'E_i', 'g_i', 'J_i', 'G', 'J', 'G', 'n1', 'n2', 'n3', 'n4', 'n5', 'n6', 'n7', 'n8', 'n9', 'n10', 'n11', 'n12', 'Gv', 'J', 'K', 'Pr', 'Gr']",22.0,"['N','E_i','gtot','J_i','Gamma_tot','n1','n2','n3','n4','n5','n6','n7','n8','n9','n10','n11','n12','Gamma_vib','J','K','tau_rot','Gamma_rot']",
12,LiH,CLT-LiH,7Li-1H,5,6,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', 'v']",,Not found,
13,BeH,Darby-Lewis,9Be-1H,11,12,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', '+/-', 'e/f', 'State', 'v', 'Lambda', 'Sigma', 'Omega']",11.0,"['n','E_i','m','J_i','P+/_','Pe/f','State','v','Lambda','Sigma','Omega']",
14,CaH,Yadin,40Ca-1H,8,9,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', 'par', 'v', 'N', 'e/f']",,Not found,"Not sure if it's Table 5 in the paper: ExoMol line lists � I. The rovibrational spectrum of BeH, MgH and CaH in the X 2+ state"
15,CrH,MoLLIST,52Cr-1H,8,9,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', 'v', 's', 'par', 'eS']",,Not found,"No table found in MoLLIST: Molecular Line Lists, Intensities and Spectra"
16,SiH,SiGHTLY,28Si-1H,13,12,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', '+/-', 'e/f', 'State', 'v', 'Lambda', 'Sigma', 'Omega']",13.0,"['n','E_i','g_i','J_i','tau_i','g-factor','Parity','e/f','State','v','Lambda','Sigma','Omega']",
17,AlH,AlHambra,27Al-1H,15,12,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', '+/-', 'e/f', 'State', 'v', 'Lambda', 'Sigma', 'Omega']",12.0,"['n','E_i','g_i','J_i','tau_i','Parity','e/f','State','v','Lambda','Sigma','Omega']",
18,TiO,Toto,49Ti-16O,16,12,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', '+/-', 'e/f', 'State', 'v', 'Lambda', 'Sigma', 'Omega']",14.0,"['n','E_i','g','J_i','tau_i','g','+/_','e/f','State','v','Lambda','Sigma','Omega','EDuo']",
19,MgO,LiTY,24Mg-16O,12,11,"['i', 'E_i', 'g_i', 'J_i', '+/-', 'e/f', 'State', 'v', 'Lambda', 'Sigma', 'Omega']",13.0,"['i','E_i','g_i','J_i','tau_i','g','+/_','e/f','State','v','Lambda','Sigma','Omega']",
20,H3_p,MiZATeP,1H3_p,13,5,"['i', 'E_i', 'g_i', 'J_i', 'tau_i']",13.0,"['i','E_i','g','J_i','tau_i','p','Sym','v1','v2','l2','G','U','K']",
21,HeH_p,ADJSAAM,4He-1H_p,6,7,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', 'v', 'q/qs']",,Not found,
22,C2,8states,12C2,18,11,"['i', 'E_i', 'g_i', 'J_i', '+/-', 'e/f', 'State', 'v', 'Lambda', 'Sigma', 'Omega']",14.0,"['n','E_i','gtot','J_i','tau_i','g-Lande','+/_','e/f','State','v','Lambda','Sigma','Omega','m/d']",
23,CN,Trihybrid,12C-14N,16,8,"['i', 'E_i', 'g_i', 'J_i', 'eS', 'v', 'F', 'kp']",16.0,"['n','E_i','gtot','J_i','unc','tau_i','g','+/_','e/f','State','v','Lambda','Sigma','Omega','Source','EDuo']",
24,CH,MoLLIST,12C-1H,8,9,"['i', 'E_i', 'g_i', 'J_i', 'v', 'N', 'Omega', 'e/f', 'Eta']",,Not found,
25,LiCl,MoLLIST,7Li-35Cl,6,5,"['i', 'E_i', 'g_i', 'J_i', 'v']",,Not found,
26,YO,SSYT,89Y-16O,11,12,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', '+/-', 'e/f', 'State', 'v', 'Lambda', 'Sigma', 'Omega']",,Not found,
27,VO,VOMYT,51V-16O,12,11,"['i', 'E_i', 'g_i', 'J_i', '+/-', 'e/f', 'State', 'v', 'Lambda', 'Sigma', 'Omega']",12.0,"['n','E_i','g','J_i','tau_i','+/_','e/f','State','v','Lambda','Sigma','Omega']",
28,SH,GYT,32S-1H,13,12,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', '+/-', 'e/f', 'State', 'v', 'Lambda', 'Sigma', 'Omega']",13.0,"['i','E_i','g_i','J_i','tau_i','g-factor','Parity','e/f','State','v','Lambda','Sigma','Omega']",
29,AlO,ATP,27Al-16O,14,12,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', '+/-', 'e/f', 'State', 'v', 'Lambda', 'Sigma', 'Omega']",12.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', '+/-', 'e/f', 'State', 'v', 'Lambda', 'Sigma', 'Omega']",
30,CaO,VBATHY,40Ca-16O,12,8,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', '+/-', 'e/f', 'State']",11.0,"['i','E_i','g','J_i','+/_','e/f','State','v','Lambda','Sigma','Omega']",
31,PS,POPS,31P-32S,13,12,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', '+/-', 'e/f', 'State', 'v', 'Lambda', 'Sigma', 'Omega']",13.0,"['n','E_i','gtot','J_i','tau_i','g-Lande','+/_','e/f','State','v','Lambda','Sigma','Omega']",
32,PO,POPS,31P-16O,13,12,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', '+/-', 'e/f', 'State', 'v', 'Lambda', 'Sigma', 'Omega']",,Not found,"Maybe this is the same as PS, but PO's states is not mentioned in: ExoMol molecular line lists � XXIII. Spectra of PO and PS"
33,NS,SNaSH,14N-32S,13,12,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', '+/-', 'e/f', 'State', 'v', 'Lambda', 'Sigma', 'Omega']",13.0,"['n','E_i','g_i','J_i','tai_i','g-factor','Parity','e/f','State','v','Lambda','Sigma','Omega']",
34,CH3F,OYKYT,12C-1H3-19F,30,18,"['i', 'E_i', 'g_i', 'J_i', 'totalSym', 'v1', 'v2', 'v3', 'v4', 'v5', 'v6', 'v7', 'v8', 'v9', 'VibSym', 'K', 'rotSym', 'Coeff']",,Not found,
35,LiF,MoLLIST,7Li-19F,6,5,"['i', 'E_i', 'g_i', 'J_i', 'v']",,Not found,
36,NaF,MoLLIST,23Na-19F,6,5,"['i', 'E_i', 'g_i', 'J_i', 'v']",,Not found,
37,KF,MoLLIST,39K-19F,6,5,"['i', 'E_i', 'g_i', 'J_i', 'v']",,Not found,
38,AlCl,MoLLIST,27Al-35Cl,6,5,"['i', 'E_i', 'g_i', 'J_i', 'v']",,Not found,
39,AlF,MoLLIST,27Al-19F,6,5,"['i', 'E_i', 'g_i', 'J_i', 'v']",,Not found,
40,CaF,MoLLIST,40Ca-19F,6,5,"['i', 'E_i', 'g_i', 'J_i', 'v']",,Not found,
41,MgF,MoLLIST,24Mg-19F,6,5,"['i', 'E_i', 'g_i', 'J_i', 'v']",,Not found,
42,OH_p,MoLLIST,16O-1H_p,9,8,"['i', 'E_i', 'g_i', 'J_i', 'v', 'eta', 'F', 'e/f']",,Not found,
43,AsH3,CYT18,75As-1H3,17,16,"['i', 'E_i', 'g_i', 'J_i', 'Gamma', 'v1', 'v2', 'v3', 'v4', 'v5', 'v6', 'Gvib', 'J', 'K', 'tau(rot)', 'Grot']",,Not found,
44,PF3,MCYTY,31P-19F3,24,18,"['i', 'E_i', 'g_i', 'J_i', 'G', 'J', 'G', 'n1', 'n2', 'n3', 'n4', 'n5', 'n6', 'Gv', 'J', 'K', 'Pr', 'Gr']",,Not found,
45,CH3,AYYJ,12C-1H3,23,24,"['i', 'E_i', 'g_i', 'J_i', '+/-', 'Gamma', 'N(Block)', 'n1', 'n2', 'n3', 'n4', 'l3', 'l4', 'tau(inv)', 'J', 'K', 'tau(rot)', 'v1', 'v2', 'v3', 'v4', 'v5', 'v6', 'Gamma(vib)']",22.0,"['N','E_i','gtot','J_i','Gamma_tot','K','Gamma_rot','L','n1','n2','n3','n4','L3','L4','Gamma_vib','|Ci|2','s1','s2','s3','b4','b5','b6']",
46,SiO2,OYT3,28Si-16O2,18,17,"['i', 'E_i', 'g_i', 'J_i', 'Gamma', 'e/f', 'v1', 'v2', 'l2', 'v3', 'C', 'n1', 'n2', 'n3', 'Gamma_vib', 'Ka', 'Gamma_rot']",18.0,"['i','E_i','gtot','J_i','unc','Gamma_tot','e/f','v1','v2lin','L','v3','Ci','n1','n2','n3','Gamma_vib','K','Gamma_rot']",
47,cis-P2H2,OY-Cis,cis-31P2-1H2,24,15,"['i', 'E_i', 'g_i', 'J_i', 'totalSym', 'K', 'rotSym', 'l', 'v1', 'v2', 'v3', 'v4', 'v5', 'v6', 'vibSym']",,Not found,website not found
48,H3O_p,eXeL,1H3-16O_p,23,20,"['i', 'E_i', 'g_i', 'J_i', 'Gamma', 'n1', 'n2', 'n3', 'l3', 'n4', 'l4', 'GammaVib', 'K', 'Coeff', 'v1', 'v2', 'v3', 'v4', 'v5', 'v6']",22.0,"['i','E_i','gtot','J_i','Unc.','Gamma','n1','n2','n3','l3','n4','l4','Gamma_vib','K','Gamma_rot','Ci','v1','v2','v3','v4','v5','v6']",
