molecule,iso_formula,linelist,iso_slug
H2O,(1H)2(16O),POKAZATEL,1H2-16O
CO2,(12C)(16O)2,UCL-4000,12C-16O2
CO,(12C)(16O),Li2015,12C-16O
CH4,(12C)(1H)4,YT34to10,12C-1H4
NO,(14N)(16O),NOname,14N-16O
SO2,(32S)(16O)2,ExoAmes,32S-16O2
NH3,(14N)(1H)3,CoYuTe,14N-1H3
HNO3,(1H)(14N)(16O)3,AIJS,1H-14N-16O3
OH,(16O)(1H),MoLLIST,16O-1H
HF,(1H)(19F),Coxon-Hajig,1H-19F
HCl,(1H)(35Cl),HITRAN,1H-35Cl
H2CO,(1H)2(12C)(16O),AYTY,1H2-12C-16O
N2,(14N)2,WCCRMT,14N2
HCN,(1H)(12C)(14N),Harris,1H-12C-14N
CH3Cl,(12C)(1H)3(35Cl),OYT,12C-1H3-35Cl
H2O2,(1H)2(16O)2,APTY,1H2-16O2
C2H2,(12C)2(1H)2,aCeTY,12C2-1H2
PH3,(31P)(1H)3,SAlTY,31P-1H3
H2S,(1H)2(32S),AYT2,1H2-32S
C2H4,(12C)2(1H)4,MaYTY,12C2-1H4
CS,(12C)(32S),JnK,12C-32S
H2,(1H)2,RACPPK,1H2
LiH,(7Li)(1H),CLT,7Li-1H
LiH_p,(7Li)(1H)+,CLT,7Li-1H_p
FeH,(56Fe)(1H),MoLLIST,56Fe-1H
TiH,(48Ti)(1H),MoLLIST,48Ti-1H
BeH,(9Be)(1H),Darby-Lewis,9Be-1H
CaH,(40Ca)(1H),Yadin,40Ca-1H
CrH,(52Cr)(1H),MoLLIST,52Cr-1H
SiH,(28Si)(1H),SiGHTLY,28Si-1H
AlH,(27Al)(1H),AlHambra,27Al-1H
NaH,(23Na)(1H),Rivlin,23Na-1H
MgH,(24Mg)(1H),Yadin,24Mg-1H
SiO,(28Si)(16O),EBJT,28Si-16O
TiO,(49Ti)(16O),Toto,49Ti-16O
MgO,(24Mg)(16O),LiTY,24Mg-16O
H3_p,(1H)3+,MiZATeP,1H3_p
HeH_p,(4He)(1H)+,ADJSAAM,4He-1H_p
H2_p,(1H)(2H)+,ADJSAAM,1H-2H_p
C2,(12C)2,8states,12C2
CN,(12C)(14N),Trihybrid,12C-14N
CH,(12C)(1H),MoLLIST,12C-1H
LiCl,(7Li)(35Cl),MoLLIST,7Li-35Cl
NaCl,(23Na)(35Cl),Barton,23Na-35Cl
NH,(14N)(1H),MoLLIST,14N-1H
SO3,(32S)(16O)3,UYT2,32S-16O3
YO,(89Y)(16O),SSYT,89Y-16O
VO,(51V)(16O),VOMYT,51V-16O
SH,(32S)(1H),GYT,32S-1H
AlO,(27Al)(16O),ATP,27Al-16O
ScH,(45Sc)(1H),LYT,45Sc-1H
KCl,(39K)(35Cl),Barton,39K-35Cl
CaO,(40Ca)(16O),VBATHY,40Ca-16O
CP,(12C)(31P),MoLLIST,12C-31P
PN,(31P)(14N),YYLT,31P-14N
PS,(31P)(32S),POPS,31P-32S
PO,(31P)(16O),POPS,31P-16O
SiH4,(28Si)(1H)4,OY2T,28Si-1H4
NS,(14N)(32S),SNaSH,14N-32S
CH3F,(12C)(1H)3(19F),OYKYT,12C-1H3-19F
SiS,(28Si)(32S),UCTY,28Si-32S
LiF,(7Li)(19F),MoLLIST,7Li-19F
NaF,(23Na)(19F),MoLLIST,23Na-19F
KF,(39K)(19F),MoLLIST,39K-19F
AlCl,(27Al)(35Cl),MoLLIST,27Al-35Cl
AlF,(27Al)(19F),MoLLIST,27Al-19F
CaF,(40Ca)(19F),MoLLIST,40Ca-19F
MgF,(24Mg)(19F),MoLLIST,24Mg-19F
OH_p,(16O)(1H)+,MoLLIST,16O-1H_p
AsH3,(75As)(1H)3,CYT18,75As-1H3
PF3,(31P)(19F)3,MCYTY,31P-19F3
PH,(31P)(1H),LaTY,31P-1H
CH3,(12C)(1H)3,AYYJ,12C-1H3
SiH2,(28Si)(1H)2,CATS,28Si-1H2
SiO2,(28Si)(16O)2,OYT3,28Si-16O2
cis-P2H2,cis-(31P)2(1H)2,OY-Cis,cis-31P2-1H2
trans-P2H2,trans-(31P)2(1H)(2H),OY-Trans,trans-31P2-1H-2H
H3O_p,(1H)3(16O)+,eXeL,1H3-16O_p