"['State', 'v', 'Lambda', 'Sigma', 'Omega']",lifetime_i
"['A1Delta', 0, 2, 0, 2]",0.02761210005005703
"['A1Delta', 1, 2, 0, 2]",0.0003803821607562943
"['A1Delta', 2, 2, 0, 2]",0.0002750088231165829
"['A1Delta', 3, 2, 0, 2]",0.0011335425766963436
"['A1Delta', 4, 2, 0, 2]",0.0021400512210819765
"['A1Delta', 5, 2, 0, 2]",0.002538297541753705
"['A1Delta', 6, 2, 0, 2]",0.0026902651267289193
"['A1Delta', 7, 2, 0, 2]",0.002632299686686053
"['A1Delta', 8, 2, 0, 2]",0.0017816916655053676
"['A1Delta', 9, 2, 0, 2]",0.0020846264185683293
"['A1Delta', 10, 2, 0, 2]",0.0021820335566651704
"['B1Pi', 0, 1, 0, 1]",3.8401842303514426e-05
"['B1Pi', 1, 1, 0, 1]",4.549136505165958e-05
"['B1Pi', 2, 1, 0, 1]",3.877081706600197e-05
"['B1Pi', 3, 1, 0, 1]",3.743585417926937e-05
"['B1Pi', 4, 1, 0, 1]",3.083893365695076e-05
"['B1Pi', 5, 1, 0, 1]",2.6497510023046346e-05
"['B1Pi', 6, 1, 0, 1]",3.422484509051862e-05
"['B1Pi', 7, 1, 0, 1]",2.6117135833020898e-05
"['X1Sigma+', 0, 0, 0, 0]",inf
"['X1Sigma+', 1, 0, 0, 0]",0.01379616714142253
"['X1Sigma+', 2, 0, 0, 0]",0.007774054146033391
"['X1Sigma+', 3, 0, 0, 0]",0.006536251581759864
"['X1Sigma+', 4, 0, 0, 0]",0.004736015178696268
"['X1Sigma+', 5, 0, 0, 0]",0.004160105423025226
"['X1Sigma+', 6, 0, 0, 0]",0.0037836478103333336
"['X1Sigma+', 7, 0, 0, 0]",0.002931119756832601
"['X1Sigma+', 8, 0, 0, 0]",0.003050309302017322
"['X1Sigma+', 9, 0, 0, 0]",0.0031131759642954253
"['X1Sigma+', 10, 0, 0, 0]",0.0029516242048326737
"['X1Sigma+', 11, 0, 0, 0]",0.0026161875893468585
"['X1Sigma+', 12, 0, 0, 0]",0.0028610290561949634
"['X1Sigma+', 13, 0, 0, 0]",0.0033403686231776772
"['a3Delta', 0, 2, 1, 1]",5.687543985330281
"['a3Delta', 0, 2, 1, 3]",4.060183666559031
"['a3Delta', 1, 2, 1, 1]",0.013991115327968588
"['a3Delta', 1, 2, 1, 3]",0.014018392911561942
"['a3Delta', 2, 2, 1, 1]",0.00755533863345316
"['a3Delta', 2, 2, 1, 3]",0.007565183210539892
"['a3Delta', 3, 2, 0, 2]",0.005456864617860085
"['a3Delta', 3, 2, 1, 1]",0.005450181065984373
"['a3Delta', 3, 2, 1, 3]",0.0054616761352105315
"['a3Delta', 4, 2, 0, 2]",0.004448423511283056
"['a3Delta', 4, 2, 1, 1]",0.004442835265872435
"['a3Delta', 4, 2, 1, 3]",0.004453177916403359
"['a3Delta', 5, 2, 0, 2]",0.0038775930333376446
"['a3Delta', 5, 2, 1, 1]",0.003755662954357505
"['a3Delta', 5, 2, 1, 3]",0.0038882565056804364
"['a3Delta', 6, 2, 0, 2]",0.003537088160675634
"['a3Delta', 6, 2, 1, 1]",0.0035392022232597995
"['a3Delta', 6, 2, 1, 3]",0.003512682989803983
"['a3Delta', 7, 2, 0, 2]",0.0033257198237965696
"['a3Delta', 7, 2, 1, 1]",0.0033211461568497776
"['a3Delta', 7, 2, 1, 3]",0.0033287562305408607
"['a3Delta', 8, 2, 0, 2]",0.003164016095647166
"['a3Delta', 8, 2, 1, 1]",0.003087831239795753
"['a3Delta', 8, 2, 1, 3]",0.0031647794995854394
"['a3Delta', 9, 2, 0, 2]",0.003021024466347399
"['a3Delta', 9, 2, 1, 1]",0.002972954354871807
"['a3Delta', 9, 2, 1, 3]",0.002998305739820531
"['a3Delta', 10, 2, 0, 2]",0.0027783342744636197
"['a3Delta', 10, 2, 1, 1]",0.002781624181270845
"['a3Delta', 10, 2, 1, 3]",0.0027828350984717004
"['a3Delta', 11, 2, 0, 2]",0.0025341762091881798
"['a3Delta', 11, 2, 1, 1]",0.002539339765399938
"['a3Delta', 11, 2, 1, 3]",0.00253368853720084
"['a3Delta', 12, 2, 0, 2]",0.0024307454471679327
"['a3Delta', 12, 2, 1, 1]",0.00238218882065013
"['a3Delta', 12, 2, 1, 3]",0.0024326324013438545
"['a3Delta', 13, 2, 1, 1]",0.003916532893355289
"['b3Pi', 0, 1, 0, 1]",0.02934262894269035
"['b3Pi', 0, 1, 1, 0]",0.028524031537898165
"['b3Pi', 0, 1, 1, 2]",0.029175054062488756
"['b3Pi', 1, 1, 0, 1]",0.009548092499648013
"['b3Pi', 1, 1, 1, 0]",0.009503149635036073
"['b3Pi', 1, 1, 1, 2]",0.00952833513868057
"['b3Pi', 2, 1, 0, 1]",0.006136301933498341
"['b3Pi', 2, 1, 1, 0]",0.005969559006253902
"['b3Pi', 2, 1, 1, 2]",0.006067288922710152
"['b3Pi', 3, 1, 0, 1]",0.0047338439930298005
"['b3Pi', 3, 1, 1, 0]",0.004510169547122527
"['b3Pi', 3, 1, 1, 2]",0.004602010421551822
"['b3Pi', 4, 1, 0, 1]",0.003777824746999112
"['b3Pi', 4, 1, 1, 0]",0.003767719080707539
"['b3Pi', 4, 1, 1, 2]",0.003703692131874643
"['b3Pi', 5, 1, 0, 1]",0.0035566689166786998
"['b3Pi', 5, 1, 1, 0]",0.003145244912927965
"['b3Pi', 5, 1, 1, 2]",0.002726574752947781
"['b3Pi', 6, 1, 0, 1]",0.003234815173068321
"['b3Pi', 6, 1, 1, 0]",0.0027857664172531854
"['b3Pi', 6, 1, 1, 2]",0.00210445522026866
"['b3Pi', 7, 1, 1, 0]",0.00252500851658817
"['b3Pi', 7, 1, 1, 2]",0.0016179761364117106
"['b3Pi', 8, 1, 1, 0]",0.002007313923882659
"['b3Pi', 8, 1, 1, 2]",0.0014038261220592554
"['b3Pi', 9, 1, 0, 1]",0.0005115946460304718
"['b3Pi', 9, 1, 1, 0]",0.0010847662134003107
"['b3Pi', 9, 1, 1, 2]",0.0008567659195180543
"['b3Pi', 10, 1, 0, 1]",0.001998141410225051
"['b3Pi', 10, 1, 1, 0]",0.0018913193398746126
"['b3Pi', 10, 1, 1, 2]",0.001805071703266178
"['b3Pi', 11, 1, 0, 1]",0.0019011152669085206
"['b3Pi', 11, 1, 1, 0]",0.0021644761737344476
"['b3Pi', 11, 1, 1, 2]",0.0017683105394427716
"['c3Sigma+', 0, 0, 0, 0]",0.0003440298017330226
"['c3Sigma+', 0, 0, 1, 1]",0.0003274541617714378
"['c3Sigma+', 1, 0, 0, 0]",0.0003002370937835616
"['c3Sigma+', 1, 0, 1, 1]",0.00028348745469424197
"['c3Sigma+', 2, 0, 0, 0]",0.00026912714218820243
"['c3Sigma+', 2, 0, 1, 1]",0.00024521247408581593
"['c3Sigma+', 3, 0, 0, 0]",0.00018696809778151376
"['c3Sigma+', 3, 0, 1, 1]",0.00015894724358874073
"['c3Sigma+', 4, 0, 0, 0]",0.0001856053209323064
"['c3Sigma+', 4, 0, 1, 1]",0.0002205499149395144
"['c3Sigma+', 5, 0, 1, 1]",0.00024814855022211
"['c3Sigma+', 6, 0, 0, 0]",0.00028964805276477366
"['c3Sigma+', 6, 0, 1, 1]",0.00030939715487916146
"['c3Sigma+', 7, 0, 1, 1]",0.00015062749885671217
"['c3Sigma+', 8, 0, 0, 0]",0.0002724108455260385
"['c3Sigma+', 8, 0, 1, 1]",0.0002764720043728202
"['c3Sigma+', 9, 0, 0, 0]",0.00030275362468983535
"['c3Sigma+', 9, 0, 1, 1]",0.00043133876330204074
